image_ID,x,y,width,height,tag
/img1005.jpg,357.0,8.0,40.0,40.0,F
/img1005.jpg,526.0,325.0,62.0,62.0,T
/img1005.jpg,646.0,379.0,55.0,55.0,T
/img1005.jpg,665.0,268.0,23.0,23.0,F
/img1005.jpg,703.0,282.0,23.0,23.0,F
/img1005.jpg,865.0,319.0,24.0,24.0,F
/img1064.jpg,135.0,359.0,197.0,197.0,T
/img1064.jpg,240.0,216.0,26.0,26.0,F
/img1064.jpg,409.0,236.0,66.0,66.0,T
/img1064.jpg,423.0,494.0,54.0,54.0,N
/img1064.jpg,502.0,412.0,158.0,158.0,T
/img1064.jpg,514.0,254.0,64.0,64.0,T
/img1064.jpg,598.0,157.0,41.0,41.0,N
/img1064.jpg,664.0,290.0,106.0,106.0,T
/img1105.jpg,34.0,50.0,28.0,28.0,F
/img1105.jpg,244.0,166.0,45.0,45.0,T
/img1105.jpg,315.0,175.0,44.0,44.0,T
/img1105.jpg,575.0,650.0,46.0,46.0,N
/img1105.jpg,728.0,162.0,53.0,53.0,T
/img1132.jpg,518.0,246.0,164.0,164.0,T
/img1132.jpg,666.0,259.0,56.0,56.0,F
/img1132.jpg,808.0,582.0,50.0,50.0,N
/img1136.jpg,90.0,72.0,95.0,95.0,F
/img1136.jpg,333.0,77.0,161.0,161.0,T
/img1136.jpg,349.0,277.0,200.0,200.0,T
/img1136.jpg,576.0,251.0,54.0,54.0,T
/img1136.jpg,612.0,308.0,208.0,208.0,T
/img1139.jpg,12.0,149.0,43.0,43.0,N
/img1139.jpg,118.0,412.0,48.0,48.0,F
/img1139.jpg,265.0,364.0,36.0,36.0,T
/img1139.jpg,344.0,359.0,41.0,41.0,T
/img1139.jpg,597.0,394.0,53.0,53.0,T
/img1139.jpg,718.0,347.0,39.0,39.0,T
/img1139.jpg,903.0,503.0,44.0,44.0,F
/img1150.jpg,158.0,281.0,40.0,40.0,T
/img1150.jpg,198.0,242.0,28.0,28.0,T
/img1150.jpg,238.0,298.0,40.0,40.0,T
/img1150.jpg,269.0,342.0,43.0,43.0,T
/img1150.jpg,283.0,213.0,34.0,34.0,T
/img1150.jpg,314.0,283.0,41.0,41.0,T
/img1150.jpg,356.0,255.0,25.0,25.0,T
/img1150.jpg,370.0,304.0,43.0,43.0,T
/img1150.jpg,419.0,217.0,26.0,26.0,T
/img1150.jpg,532.0,377.0,54.0,54.0,T
/img1150.jpg,561.0,299.0,35.0,35.0,T
/img1150.jpg,602.0,336.0,41.0,41.0,T
/img1150.jpg,624.0,379.0,70.0,70.0,T
/img1150.jpg,636.0,99.0,59.0,59.0,N
/img1150.jpg,670.0,319.0,49.0,49.0,T
/img1150.jpg,686.0,115.0,83.0,83.0,N
/img1150.jpg,714.0,145.0,72.0,72.0,N
/img1150.jpg,729.0,257.0,39.0,39.0,T
/img1150.jpg,745.0,343.0,52.0,52.0,T
/img1150.jpg,769.0,246.0,22.0,22.0,F
/img1151.jpg,19.0,268.0,32.0,32.0,F
/img1151.jpg,79.0,270.0,40.0,40.0,T
/img1151.jpg,143.0,289.0,34.0,34.0,T
/img1151.jpg,207.0,287.0,41.0,41.0,T
/img1151.jpg,210.0,332.0,43.0,43.0,T
/img1151.jpg,270.0,337.0,39.0,39.0,T
/img1151.jpg,293.0,292.0,38.0,38.0,T
/img1151.jpg,319.0,337.0,39.0,39.0,T
/img1151.jpg,360.0,293.0,27.0,27.0,T
/img1151.jpg,411.0,330.0,33.0,33.0,T
/img1151.jpg,411.0,254.0,26.0,26.0,T
/img1151.jpg,478.0,365.0,47.0,47.0,T
/img1151.jpg,538.0,373.0,48.0,48.0,T
/img1151.jpg,558.0,321.0,32.0,32.0,T
/img1151.jpg,570.0,257.0,23.0,23.0,T
/img1151.jpg,581.0,355.0,38.0,38.0,T
/img1151.jpg,652.0,377.0,56.0,56.0,T
/img1151.jpg,666.0,312.0,47.0,47.0,T
/img1151.jpg,733.0,320.0,48.0,48.0,T
/img1151.jpg,873.0,230.0,26.0,26.0,F
/img1175.jpg,103.0,195.0,63.0,63.0,T
/img1175.jpg,134.0,86.0,67.0,67.0,T
/img1175.jpg,266.0,152.0,52.0,52.0,T
/img1175.jpg,335.0,180.0,49.0,49.0,F
/img1175.jpg,466.0,132.0,73.0,73.0,T
/img1175.jpg,595.0,228.0,71.0,71.0,T
/img1175.jpg,597.0,78.0,121.0,121.0,N
/img1175.jpg,608.0,72.0,61.0,61.0,N
/img1175.jpg,664.0,216.0,58.0,58.0,T
/img1175.jpg,746.0,92.0,64.0,64.0,N
/img1175.jpg,773.0,390.0,45.0,45.0,F
/img1175.jpg,899.0,420.0,46.0,46.0,F
/img1176.jpg,43.0,306.0,51.0,51.0,T
/img1176.jpg,85.0,118.0,35.0,35.0,N
/img1176.jpg,174.0,357.0,49.0,49.0,T
/img1176.jpg,274.0,266.0,60.0,60.0,T
/img1176.jpg,323.0,227.0,66.0,66.0,T
/img1176.jpg,532.0,259.0,58.0,58.0,T
/img1176.jpg,564.0,338.0,46.0,46.0,T
/img1176.jpg,680.0,263.0,42.0,42.0,F
/img1197.jpg,179.0,291.0,52.0,52.0,T
/img1197.jpg,334.0,190.0,134.0,134.0,T
/img1197.jpg,472.0,216.0,129.0,129.0,T
/img1197.jpg,805.0,108.0,74.0,74.0,F
/img1210.jpg,261.0,337.0,59.0,59.0,N
/img1210.jpg,262.0,86.0,95.0,95.0,T
/img1210.jpg,422.0,335.0,102.0,102.0,T
/img1210.jpg,513.0,209.0,87.0,87.0,T
/img1210.jpg,540.0,83.0,22.0,22.0,F
/img1210.jpg,713.0,72.0,96.0,96.0,T
/img1215.jpg,335.0,435.0,228.0,228.0,T
/img1215.jpg,724.0,248.0,30.0,30.0,F
/img1217.jpg,266.0,384.0,153.0,153.0,T
/img1217.jpg,514.0,203.0,185.0,185.0,T
/img1217.jpg,817.0,312.0,57.0,57.0,F
/img1217.jpg,845.0,449.0,61.0,61.0,F
/img141.jpg,408.0,389.0,133.0,133.0,T
/img141.jpg,427.0,309.0,24.0,24.0,F
/img141.jpg,530.0,331.0,116.0,116.0,T
/img1525.jpg,50.0,454.0,58.0,58.0,F
/img1525.jpg,298.0,144.0,154.0,154.0,T
/img1525.jpg,492.0,104.0,149.0,149.0,T
/img1525.jpg,616.0,15.0,74.0,74.0,N
/img1531.jpg,177.0,220.0,46.0,46.0,F
/img1531.jpg,286.0,262.0,48.0,48.0,T
/img1531.jpg,367.0,267.0,51.0,51.0,T
/img1531.jpg,414.0,320.0,53.0,53.0,N
/img1531.jpg,517.0,274.0,53.0,53.0,T
/img1531.jpg,579.0,249.0,54.0,54.0,T
/img1531.jpg,660.0,273.0,62.0,62.0,T
/img1536.jpg,257.0,174.0,50.0,50.0,N
/img1536.jpg,284.0,60.0,93.0,93.0,T
/img1536.jpg,436.0,67.0,89.0,89.0,T
/img1536.jpg,803.0,351.0,50.0,50.0,N
/img1536.jpg,860.0,106.0,42.0,42.0,F
/img1537.jpg,20.0,252.0,236.0,236.0,T
/img1537.jpg,228.0,86.0,33.0,33.0,F
/img1537.jpg,309.0,110.0,23.0,23.0,F
/img1537.jpg,336.0,358.0,135.0,135.0,T
/img1537.jpg,344.0,191.0,114.0,114.0,T
/img1557.jpg,554.0,8.0,98.0,98.0,F
/img1557.jpg,590.0,165.0,218.0,218.0,T
/img1560.jpg,40.0,50.0,38.0,38.0,F
/img1560.jpg,153.0,182.0,247.0,247.0,T
/img1560.jpg,548.0,205.0,235.0,235.0,T
/img1562.jpg,34.0,213.0,46.0,46.0,F
/img1562.jpg,195.0,62.0,175.0,175.0,T
/img1563.jpg,81.0,266.0,246.0,246.0,T
/img1563.jpg,376.0,242.0,39.0,39.0,F
/img1563.jpg,626.0,423.0,50.0,50.0,T
/img1566.jpg,130.0,109.0,271.0,271.0,T
/img1566.jpg,473.0,178.0,195.0,195.0,T
/img1566.jpg,802.0,41.0,50.0,50.0,F
/img1568.jpg,134.0,138.0,275.0,275.0,T
/img1568.jpg,211.0,0.0,27.0,27.0,F
/img1568.jpg,398.0,491.0,91.0,91.0,N
/img1568.jpg,511.0,137.0,258.0,258.0,T
